iter	Passed	Remaining
0	5	5590
1	12	6169
2	18	6242
3	25	6464
4	32	6563
5	39	6579
6	45	6507
7	51	6393
8	57	6349
9	64	6395
10	70	6355
11	76	6322
12	83	6332
13	89	6317
14	95	6256
15	100	6188
16	105	6105
17	111	6076
18	116	6003
19	121	5947
20	127	5921
21	131	5863
22	137	5824
23	142	5813
24	148	5773
25	152	5727
26	158	5721
27	164	5697
28	169	5665
29	175	5664
30	180	5656
31	186	5638
32	193	5663
33	200	5689
34	207	5725
35	215	5758
36	222	5795
37	229	5800
38	236	5816
39	242	5812
40	248	5817
41	255	5826
42	261	5823
43	267	5806
44	272	5790
45	278	5774
46	284	5768
47	290	5760
48	295	5739
49	301	5728
50	307	5717
51	314	5725
52	319	5707
53	325	5701
54	331	5697
55	337	5686
56	342	5671
57	348	5664
58	355	5667
59	360	5654
60	366	5647
61	372	5638
62	378	5622
63	383	5613
64	394	5668
65	399	5660
66	405	5652
67	411	5639
68	417	5632
69	422	5619
70	428	5609
71	434	5600
72	440	5597
73	447	5601
74	453	5599
75	467	5682
76	475	5694
77	482	5706
78	489	5701
79	496	5707
80	502	5705
81	507	5686
82	514	5681
83	519	5660
84	525	5655
85	531	5647
86	537	5640
87	541	5614
88	546	5597
89	551	5580
90	556	5557
91	561	5541
92	567	5530
93	572	5515
94	576	5496
95	582	5481
96	587	5465
97	591	5447
98	596	5429
99	600	5407
100	605	5390
101	610	5373
102	614	5353
103	619	5333
104	623	5314
105	628	5299
106	633	5291
107	638	5271
108	643	5259
109	648	5245
110	652	5229
111	658	5217
112	663	5205
113	667	5190
114	672	5177
115	677	5162
116	681	5143
117	685	5126
118	690	5114
119	694	5096
120	699	5080
121	704	5067
122	708	5051
123	713	5039
124	717	5022
125	722	5008
126	726	4992
127	730	4976
128	734	4960
129	739	4947
130	743	4931
131	747	4913
132	751	4899
133	755	4883
134	759	4867
135	763	4849
136	768	4843
137	776	4851
138	781	4843
139	787	4835
140	792	4825
141	796	4810
142	801	4803
143	807	4801
144	812	4789
145	817	4784
146	822	4774
147	827	4766
148	832	4752
149	838	4749
150	841	4733
151	846	4720
152	850	4710
153	855	4698
154	859	4686
155	863	4670
156	867	4657
157	872	4649
158	876	4636
159	880	4623
160	884	4609
161	888	4594
162	891	4580
163	896	4570
164	900	4558
165	904	4546
166	910	4542
167	915	4534
168	920	4527
169	925	4518
170	933	4525
171	938	4517
172	942	4507
173	947	4497
174	951	4486
175	956	4477
176	960	4466
177	964	4456
178	969	4447
179	973	4436
180	978	4428
181	983	4420
182	987	4410
183	993	4404
184	997	4394
185	1002	4385
186	1006	4375
187	1011	4368
188	1015	4357
189	1020	4349
190	1025	4342
191	1029	4334
192	1033	4322
193	1038	4312
194	1044	4311
195	1048	4302
196	1053	4294
197	1058	4287
198	1063	4280
199	1068	4273
200	1072	4264
201	1077	4255
202	1081	4244
